company_name,source_title,source_level,source_type,source_url,source_date,last_checked,evidence_use,confidence,notes
Boston Dynamics,Boston Dynamics 落地案例来源,B,案例资料,https://bostondynamics.com/products/atlas/,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
FieldAI,FieldAI 融资事件来源,B,官网/媒体,https://www.fieldai.com/technology,unknown,2026-05-26,融资、资本关注度和发展阶段,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Figure AI,Figure AI 产品库来源,C,客户公告,https://www.bmwgroup.com/en/news/general/2024/humanoid-robots.html,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Figure AI,Figure AI 落地案例来源,A,案例资料,https://www.bmwgroup.com/en/news/general/2024/humanoid-robots.html,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
NEURA Robotics,NEURA Robotics 产品库来源,B,官网产品页,https://neura-robotics.com/products/4ne1/,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Physical Intelligence,Physical Intelligence 融资事件来源,B,官网,https://www.pi.website/,unknown,2026-05-26,融资、资本关注度和发展阶段,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Sanctuary AI,Sanctuary AI 产品库来源,B,官网新闻,https://www.sanctuary.ai/blog/sanctuary-ai-unveils-phoenix-a-humanoid-general-purpose-robot-designed-for-work,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Simbe Robotics,Simbe Robotics 产品库来源,B,官网新闻,https://www.simberobotics.com/about/newsroom/simbe-marks-10-years-of-tally-the-robot,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Simbe Robotics,Simbe Robotics 落地案例来源,B,案例资料,https://www.simberobotics.com/about/newsroom/simbe-marks-10-years-of-tally-the-robot,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
Skild AI,Skild AI 融资事件来源,C,媒体报道,https://siliconangle.com/2024/07/09/skild-ai-raises-300m-build-general-purpose-ai-powered-brain-robot/,unknown,2026-05-26,融资、资本关注度和发展阶段,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 公司库主来源,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 来源索引补充,B,来源索引,https://www.sanhua.com/,unknown,2026-05-26,三花智控,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 公司基本定位复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 核心产品与形态复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 目标场景与客户类型复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 技术路线和软件栈复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 商业化阶段复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
三花智控,三花智控 量产、交付和收入边界复核,A,官网/上市公司,https://www.sanhua.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 公司库主来源,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 来源索引补充,B,来源索引,https://www.zd-motor.com/,unknown,2026-05-26,中大力德,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 公司基本定位复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 核心产品与形态复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 目标场景与客户类型复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 技术路线和软件栈复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 商业化阶段复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
中大力德,中大力德 量产、交付和收入边界复核,A,官网/上市公司,https://www.zd-motor.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 公司库主来源,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 产品库来源,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 来源索引补充,B,来源索引,https://www.lejurobot.com/,unknown,2026-05-26,乐聚机器人产品与应用方向,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚英文官网,B,官网,https://lejurobot.cn/,unknown,2026-05-26,乐聚英文官网,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚中文官网,B,官网,https://www.lejurobot.com/zh,unknown,2026-05-26,乐聚中文官网,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,KUAVO 5 产品资料,C,产品资料,https://ui44.com/robots/leju-kuavo5,unknown,2026-05-26,KUAVO 5 产品资料,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚招股书/披露资料线索,A,监管文件,https://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202605/RAS_202605_1918054BB49FB55E3D46A885B9FAC3CA21D76F.pdf,unknown,2026-05-26,乐聚招股书/披露资料线索,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 公司基本定位复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 核心产品与形态复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 目标场景与客户类型复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 技术路线和软件栈复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 商业化阶段复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 量产、交付和收入边界复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 供应链和关键零部件复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,供应链和关键零部件复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 管理层合作风险复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,管理层合作风险复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 未来 12 个月跟踪指标复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,未来 12 个月跟踪指标复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 与同类公司横向对照复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,与同类公司横向对照复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 公司基本定位复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 核心产品与形态复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 目标场景与客户类型复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 技术路线和软件栈复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 商业化阶段复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 量产、交付和收入边界复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 供应链和关键零部件复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,供应链和关键零部件复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 管理层合作风险复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,管理层合作风险复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 未来 12 个月跟踪指标复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,未来 12 个月跟踪指标复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 与同类公司横向对照复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,与同类公司横向对照复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 公司基本定位复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 核心产品与形态复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
乐聚机器人,乐聚机器人 目标场景与客户类型复核,B,官网,https://www.lejurobot.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 公司库主来源,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 产品库来源,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 落地案例来源,C,案例资料,https://www.globenewswire.com/news-release/2026/03/06/3250801/0/en/deep-robotics-chder-launch-full-scenario-robot-inspection-solution-empowering-safe-and-efficient-thermal-power-operations.html,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 来源索引补充,B,来源索引,https://www.deeprobotics.cn/en/,unknown,2026-05-26,云深处四足机器人产品和案例入口,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 来源索引补充,B,来源索引,https://www.globenewswire.com/news-release/2026/03/06/3250801/0/en/deep-robotics-chder-launch-full-scenario-robot-inspection-solution-empowering-safe-and-efficient-thermal-power-operations.html,unknown,2026-05-26,云深处与华电电科院巡检方案,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处官网,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,云深处官网,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,Deep Robotics X30 产品页,B,官网产品页,https://www.deeprobotics.us/products/x30/,unknown,2026-05-26,Deep Robotics X30 产品页,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,X30 产品资料 PDF,B,产品资料,https://deep-website.oss-cn-hangzhou.aliyuncs.com/app/X30.pdf,unknown,2026-05-26,X30 产品资料 PDF,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处与华电电科院巡检方案,C,媒体/方案发布,https://www.globenewswire.com/news-release/2026/03/06/3250801/0/en/deep-robotics-chder-launch-full-scenario-robot-inspection-solution-empowering-safe-and-efficient-thermal-power-operations.html,unknown,2026-05-26,云深处与华电电科院巡检方案,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,宁波钢铁巡检报道,C,媒体报道,https://www.cinn.cn/cl/2026/02-24/eryvxxgD.html,unknown,2026-05-26,宁波钢铁巡检报道,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 公司基本定位复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,公司基本定位复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 核心产品与形态复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,核心产品与形态复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 目标场景与客户类型复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,目标场景与客户类型复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 技术路线和软件栈复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,技术路线和软件栈复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 商业化阶段复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,商业化阶段复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 量产、交付和收入边界复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,量产、交付和收入边界复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 供应链和关键零部件复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,供应链和关键零部件复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 管理层合作风险复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,管理层合作风险复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 未来 12 个月跟踪指标复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,未来 12 个月跟踪指标复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 与同类公司横向对照复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,与同类公司横向对照复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 公司基本定位复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,公司基本定位复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 核心产品与形态复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,核心产品与形态复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 目标场景与客户类型复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,目标场景与客户类型复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 技术路线和软件栈复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,技术路线和软件栈复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 商业化阶段复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,商业化阶段复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 量产、交付和收入边界复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,量产、交付和收入边界复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 供应链和关键零部件复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,供应链和关键零部件复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 管理层合作风险复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,管理层合作风险复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 未来 12 个月跟踪指标复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,未来 12 个月跟踪指标复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云深处科技,云深处科技 与同类公司横向对照复核,B,官网,https://www.deeprobotics.cn/en/,unknown,2026-05-26,与同类公司横向对照复核,高,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 公司库主来源,B,官网,https://www.narwal.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 落地案例来源,B,案例资料,https://www.narwal.com/,unknown,2026-05-26,客户、场景、付费和持续运营证据,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 来源索引补充,B,来源索引,https://www.narwal.com/,unknown,2026-05-26,云鲸智能,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 公司基本定位复核,B,官网,https://www.narwal.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 核心产品与形态复核,B,官网,https://www.narwal.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 目标场景与客户类型复核,B,官网,https://www.narwal.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 技术路线和软件栈复核,B,官网,https://www.narwal.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
云鲸智能,云鲸智能 商业化阶段复核,B,官网,https://www.narwal.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 公司库主来源,B,官网,https://www.seer-group.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 来源索引补充,B,来源索引,https://www.seer-group.com/,unknown,2026-05-26,仙工智能/仙知机器人,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 公司基本定位复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 核心产品与形态复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 目标场景与客户类型复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 技术路线和软件栈复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 商业化阶段复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙工智能,仙工智能 量产、交付和收入边界复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 公司库主来源,B,官网,https://www.seer-group.com/,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 来源索引补充,B,来源索引,https://www.seer-group.com/,unknown,2026-05-26,仙工智能/仙知机器人,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 公司基本定位复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 核心产品与形态复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 目标场景与客户类型复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 技术路线和软件栈复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 商业化阶段复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
仙知机器人,仙知机器人 量产、交付和收入边界复核,B,官网,https://www.seer-group.com/,unknown,2026-05-26,量产、交付和收入边界复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 公司库主来源,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,公司定位、产品线、场景与部署状态基础事实,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 产品库来源,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,产品矩阵、参数和生产状态,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 来源索引补充,B,来源索引,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,众擎机器人产品页,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,EngineAI 官网产品页,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,EngineAI 官网产品页,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,EngineAI 门店页,B,官网,https://en.engineai.com.cn/store.html,unknown,2026-05-26,EngineAI 门店页,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,EngineAI T800 CES 报道,C,媒体,https://theaiinsider.tech/2026/01/07/engineai-robotics-technology-introduces-the-t800-humanoid-robot-at-ces-2026/,unknown,2026-05-26,EngineAI T800 CES 报道,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,EngineAI T800 产品资料,C,产品资料,https://ui44.com/robots/engineai-t800,unknown,2026-05-26,EngineAI T800 产品资料,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 公司基本定位复核,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,公司基本定位复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 核心产品与形态复核,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,核心产品与形态复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 目标场景与客户类型复核,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,目标场景与客户类型复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 技术路线和软件栈复核,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,技术路线和软件栈复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
众擎机器人/EngineAI,众擎机器人/EngineAI 商业化阶段复核,B,官网产品页,https://en.engineai.com.cn/about-process-sa01.html,unknown,2026-05-26,商业化阶段复核,中,生成时纳入公开来源清单；正式决策前需重新打开原链接复核。
