company_name,country_or_region,category,main_products,target_scenarios,technology_route,financing_or_listing_status,disclosed_customers,deployment_status,source_level,source_type,source_url,source_date,last_checked,confidence,notes
Skild AI,美国,模型/平台,Skild Brain,多形态机器人；工业；家庭潜在场景,通用机器人基础模型；跨本体控制,未上市；2024披露3亿美元融资,硬件伙伴未完整披露,L0/L1模型平台早期,C,媒体报道,https://siliconangle.com/2024/07/09/skild-ai-raises-300m-build-general-purpose-ai-powered-brain-robot/,2024-07-09,2026-05-26,中,融资和定位明确；客户部署需补充官方证据
Physical Intelligence,美国,模型/平台,pi0；pi0.5；pi0.6,灵巧操作；多机器人本体,机器人VLA；flow matching action head；多本体数据,未上市；多轮融资,研究/合作方未完整披露,L0/L1研究模型,B,官网博客,https://www.pi.website/,2025-04-22,2026-05-26,中,技术路线领先但商业部署仍早期
FieldAI,美国,模型/平台,Field Foundation Models,施工；能源；物流；复杂户外场景,风险感知机器人基础模型；边缘部署；跨本体自主性,未上市；2025披露4.05亿美元融资,机器人硬件伙伴,L1试点/平台部署,B,官网技术页,https://www.fieldai.com/technology,unknown,2026-05-26,中,强调复杂场地通用自主；需要客户案例数据化
Covariant,美国,模型/平台,Covariant Brain；RFM-1,仓储分拣；电商物流,机器人基础模型；仓储抓取数据；自然语言理解,未上市,仓储客户需逐项核验,L3仓储机器人AI商用,B,官网产品页,https://covariant.ai/rfm/,2024-03-11,2026-05-26,高,仓储抓取商业化较成熟；人形延展仍待观察
Intrinsic,美国/Alphabet,平台公司,Flowstate；Intrinsic platform,工业机器人开发；制造自动化,机器人开发环境；技能编排；工业机器人生态,Alphabet旗下,Universal Robots等生态伙伴,L2平台商用,B,官网产品页,https://www.intrinsic.ai/flowstate,unknown,2026-05-26,高,偏工业机器人软件平台；不是本体厂商
Google DeepMind,英国/美国,模型/平台,Gemini Robotics；Gemini Robotics-ER,机器人基础模型；多本体研究,视觉语言动作模型；具身推理；机器人SDK,Google旗下,Apptronik等测试伙伴,L0/L1模型发布,B,官方博客,https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/,2025-03-12,2026-05-26,高,模型方向关键；商业化由合作伙伴承接
NVIDIA,美国,平台公司,Isaac GR00T；Isaac Lab；Jetson Thor,人形机器人开发；仿真；合成数据,机器人foundation model；仿真训练；边缘计算,上市公司,Agibot；NEURA等生态伙伴,L2开发平台/生态,B,官方开发者页,https://developer.nvidia.com/isaac/gr00t,2025-03-18,2026-05-26,高,基础设施层影响大；不直接代表终端落地
Toyota Research Institute,日本/美国,研究机构/平台,家庭辅助机器人研究；制造机器人研究,家庭；制造；人类增强,模仿学习；仿真；机器人学习,Toyota旗下,Toyota内部,L0/L1研究验证,B,官方新闻,https://pressroom.toyota.com/toyota-research-institute-reaches-new-technical-milestones-in-robotics/,2021-06-21,2026-05-26,中,研究能力强；公开商业产品化节奏较慢
Amazon Robotics,美国,本体/系统集成,Proteus；Sparrow；Sequoia；仓储机器人系统,电商仓储；履约中心,AMR；计算机视觉；仓储自动化；AI拣选,Amazon内部业务,Amazon fulfillment centers,L3内部规模化部署,A,公司新闻,https://www.aboutamazon.com/news/operations/amazon-robotics-robots-fulfillment-center,2025-10-22,2026-05-26,高,百万级机器人体系是规模化落地标杆；非通用人形路线
Simbe Robotics,美国,本体厂商,Tally,零售门店；货架盘点；库存智能,自主移动机器人；计算机视觉；RFID,未上市,零售连锁客户,L3零售场景规模商用,B,官网新闻,https://www.simberobotics.com/about/newsroom/simbe-marks-10-years-of-tally-the-robot,2025-11-18,2026-05-26,高,零售货架扫描是已验证场景；不做人形机器人
