case_name,company_name,customer_or_partner,scenario,location,deployment_scale,paid_status,ongoing_status,evidence_type,source_level,source_url,source_date,last_checked,confidence,notes
Simbe Tally在Schnucks门店部署,Simbe Robotics,Schnuck Markets,超市货架扫描/库存智能,美国中西部,62家门店,是,持续运营/公司披露,官网新闻,B,https://www.simberobotics.com/about/newsroom/schnuck-markets-expands-deployment-of-simbe-robotics-tally-inventory-robot,unknown,2026-05-26,高,来源披露新增46店后总计62个门店
Simbe Tally在BJ's全店部署,Simbe Robotics,BJ's Wholesale Club,会员制仓储门店货架扫描,美国,全门店部署/门店数未披露,是,持续运营/公司披露,官网新闻,B,https://www.simberobotics.com/about/newsroom/bjs-rolls-out-ai-driven-inventory-tracking-robots-across-all-its-locations,unknown,2026-05-26,高,来源披露跨全部门店但未给具体门店数
Pudu BellaBot在Carrefour波兰零售促销,普渡机器人,Carrefour/PepsiCo,零售门店促销/导购/配送,波兰华沙,2家门店起步/后续百店巡展,是/营销合作,阶段性运营/品牌活动,官网新闻,B,https://www.pudurobotics.com/about/news/637f47ebceac210066273369,2022-11-24,2026-05-26,中,两家门店实装较明确 但百店为巡展活动非固定部署
Pudu CC1美国便利零售清洁,普渡机器人,美国便利零售商未披露,便利店清洁,美国,数台/客户未披露,unknown,真实客户案例/规模有限,官方案例,B,https://www.pudurobotics.com/en/case-studies/setting-standard-automated-cleaning-convenience-retail,unknown,2026-05-26,中,客户匿名且规模为少量机器人
Pudu Shell波兰油站服务机器人,普渡机器人,Shell Poland,油站零售迎宾/店内配送,波兰Września,单站点/数量未披露,unknown,客户合作案例,官方案例,B,https://www.pudurobotics.com/en/case-studies/pudu-shell-BellaBot,unknown,2026-05-26,中,店内服务场景明确但规模较小
Richtech ADAM入驻Walmart内Ghost Kitchens,Richtech Robotics,Ghost Kitchens International/Walmart,店内饮品自动化,美国佐治亚Dawsonville Walmart,1家已装/240家为非约束计划,是/需核验收入,已运营/计划扩张,上市公司新闻稿,B,https://ir.richtechrobotics.com/news-releases/news-release-details/richtech-robotics-celebrates-completion-installation-adam-ghost,2024-07-22,2026-05-26,中,已装一店明确但240家为LOI和前瞻性表述
Galbot GroceryVLA零售值守店计划,银河通用,零售业态合作方未披露,零售货架抓取/值守店,中国,年内计划100家/已落地数量需核验,unknown,计划扩张/能力展示,政府转载媒体,C,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtcyfz/202506/t20250613_4113263.html,2025-06-13,2026-05-26,中,100家为计划不可当作已部署
Gausium AB Vassilopoulos超市清洁,Gausium/高仙机器人,AB Vassilopoulos(Ahold Delhaize)/Gerobo,超市清洁,希腊全国门店网络,25台/9台Omnie+16台Phantas,是,持续运营/官方案例,官方案例,B,https://gausium.com/case/ab-vassilopoulos-supermarkets/,2026-05-12,2026-05-26,高,明确客户数量和部署周期
Starship Co-op/Save Mart零售配送,Starship Technologies,Co-op/Save Mart/Lucky California,门店到家无人配送,英国/美国加州,500台扩张计划/多地商业运营,是,持续运营,官方新闻稿,B,https://www.starship.xyz/press/co-op-and-starship-technologies-to-expand-partnership-to-500-robots-across-five-new-towns-and-cities-to-cut-carbon-on-last-mile-deliveries/,unknown,2026-05-26,高,属于门店外配送而非店内机器人 订单由社区门店拣货
Nuro Kroger Fry's无人配送,Nuro,Kroger/Fry's Food Stores,超市到家无人配送,美国亚利桑那Scottsdale,单店/近千单早期配送,是,阶段性试点/历史商业运营,客户公告,A,https://ir.kroger.com/news/news-details/2018/Nuro-and-Kroger-Launch-First-Ever-Unmanned-Delivery-Service-for-the-General-Public/default.aspx,2018-12-18,2026-05-26,中,客户公告明确单店和近千单 但为早期试点
Bear Robotics Chili's餐厅服务机器人,Bear Robotics,Chili's等餐饮连锁,餐厅送餐/收盘,美国,10家测试+51家扩展,是,试点扩展/媒体披露,媒体报道,C,https://www.restaurantdive.com/news/chilis-will-bring-restaurant-robot-to-51-more-stores/622183/,2022-04-26,2026-05-26,中,餐饮连锁规模来自媒体报道需客户侧复核
Bossa Nova Walmart货架扫描历史部署,Bossa Nova Robotics,Walmart,零售货架扫描/库存检查,美国Walmart门店,约500店历史部署/后续终止,是/历史合同,已停止,媒体报道,C,https://www.retaildive.com/news/walmart-ends-aisle-scanning-robot-contract/588306/,2020-11-03,2026-05-26,中,作为反例保留 因客户终止不计入当前活跃部署
Serve Robotics White Castle外卖配送,Serve Robotics,White Castle/Uber Eats,餐饮门店外卖无人配送,美国多个城市配送区,门店数未披露/多城市配送区,是,持续运营/合作发布,上市公司新闻稿,B,https://ir.serverobotics.com/news-releases/news-release-details/serve-robotics-and-white-castle-launch-autonomous-delivery-uber/,2026-03-11,2026-05-26,中,属于门店外配送而非店内作业
Boston Dynamics Atlas Hyundai测试,Boston Dynamics,Hyundai,汽车制造排序任务,Hyundai设施,客户设施测试,unknown,测试中,官网产品页,B,https://bostondynamics.com/products/atlas/,2026-01-05,2026-05-26,中,量产部署未完成
1X NEO家庭早期用户预售,1X Technologies,早期家庭用户,家庭服务,美国等,预售/早期交付待确认,是/预售,待交付,官网新闻,B,https://www.1x.tech/discover/neo-home-robot,2025-10-28,2026-05-26,中,更接近预售而非稳定落地
Unitree四足机器人科研教育销售,宇树科技,高校/开发者/行业用户,科研教育/开发平台,全球,公开销售,是,持续销售,官网,B,https://www.unitree.com/en/about/,unknown,2026-05-26,高,作为低成本平台样本
Unitree B2工业四足巡检,宇树科技,行业客户未完整披露,工业巡检/消防/电力,中国/全球,产品销售,是,持续销售,官网,B,https://www.unitree.com/,unknown,2026-05-26,中,客户需逐条核验
智元5000台具身机器人下线,智元机器人,客户结构未披露,多场景交付/产线,中国,5000台下线,unknown,公司披露,官网新闻,B,https://www.agibot.com.cn/article/188/detail/101.html,2025-12-12,2026-05-26,中,下线不等于付费交付
TRON 1科研开发平台发布,逐际动力,开发者/科研客户,双足机器人开发,全球,开放预订/销售,是/待核验,产品销售,官网新闻,B,https://www.limxdynamics.com/en/news/BK000040,2024-10-17,2026-05-26,中,适合科研平台观察
GR系列康复/科研场景,傅利叶智能,康复医疗和科研客户,康复/科研/服务,中国/全球,产品发布和客户交付需核验,unknown,持续推进,官方新闻稿,B,https://www.prnewswire.com/news-releases/fourier-unveils-the-next-generation-humanoid-robot-gr-2-302262068.html,2024-09-30,2026-05-26,中,需补客户侧证据
Hikrobot工业移动机器人,海康机器人,制造/物流客户,仓储物流/制造,中国/全球,规模商用,是,持续运营,官网,B,https://www.hikrobotics.com/,unknown,2026-05-26,高,工业视觉和AMR成熟样本
Geekplus仓储机器人部署,极智嘉/Geekplus,电商/零售/物流客户,仓储自动化,全球,规模商用,是,持续运营,官网,B,https://www.geekplus.com/,unknown,2026-05-26,高,中国仓储机器人标杆
Quicktron仓储AMR部署,快仓智能,仓储/制造客户,仓储自动化,中国/全球,规模商用,是,持续运营,官网,B,https://www.quicktron.com/,unknown,2026-05-26,高,仓储机器人标杆
Gausium商用清洁机器人部署,高仙机器人/Gausium,商业物业/交通枢纽/零售客户,商用清洁/零售清洁,中国/全球,规模商用/零售多门店案例,是,持续运营,官网,B,https://gausium.com/solutions/retail/,unknown,2026-05-26,高,商用清洁成熟场景 零售门店需要按客户案例核验具体数量
Ecovacs家庭清洁机器人,科沃斯,家庭用户,家庭清洁,全球,消费级规模出货,是,持续运营,官网/上市公司,A,https://www.ecovacs.com/,unknown,2026-05-26,高,家庭服务机器人商业基础
Narwal家庭清洁机器人,云鲸智能,家庭用户,家庭清洁,全球,消费级销售,是,持续运营,官网,B,https://www.narwal.com/,unknown,2026-05-26,中,家庭服务机器人样本
Dreame家庭清洁机器人,追觅科技,家庭用户,家庭清洁,全球,消费级销售,是,持续运营,官网,B,https://www.dreametech.com/,unknown,2026-05-26,中,消费机器人样本
Flexiv力控机器人工业应用,非夕科技,工业/医疗客户,柔性操作,中国/全球,行业部署,是,持续运营,官网,B,https://www.flexiv.com/,unknown,2026-05-26,中,灵巧操作相关
DOBOT协作机械臂教育与工业销售,越疆科技,教育/工业客户,机械臂开发/工业操作,全球,产品销售,是,持续销售,官网,B,https://www.dobot-robots.com/,unknown,2026-05-26,高,开发者和轻工业场景
JAKA协作机器人制造应用,节卡机器人,制造客户,协作装配/上下料,中国/全球,规模销售,是,持续运营,官网,B,https://www.jaka.com/,unknown,2026-05-26,高,协作机器人成熟
AUBO协作机器人制造应用,遨博智能,制造/教育客户,协作装配/教学,中国/全球,规模销售,是,持续运营,官网,B,https://www.aubo-cobot.com/public/,unknown,2026-05-26,高,协作机器人成熟
CloudMinds政企服务机器人,达闼机器人,政企客户,服务/康养/教育,中国,部署规模需核验,unknown,持续运营,官网,B,https://www.cloudminds.com/,unknown,2026-05-26,中,客户和近年进展需复核
XPeng IRON内部展示,小鹏机器人,小鹏汽车内部,汽车制造/展示,中国,内部验证,unknown,内部试点,官网,B,https://www.xpeng.com/,unknown,2026-05-26,低,外部商用未证实
Tiangong开源人形平台,北京人形机器人创新中心,开发者/生态伙伴,科研/开源生态,中国,平台发布,unknown,生态建设,官网,B,https://x-humanoid.com/,unknown,2026-05-26,中,产业生态平台而非客户商用
Orbbec机器人视觉客户,奥比中光,机器人厂商/工业客户,3D视觉感知,中国/全球,传感器规模销售,是,持续运营,官网/上市公司,A,https://www.orbbec.com.cn/,unknown,2026-05-26,高,上游传感器落地
RoboSense机器人激光雷达客户,速腾聚创,机器人/车企客户,移动机器人感知,中国/全球,传感器销售,是,持续运营,官网/上市公司,A,https://www.robosense.ai/,unknown,2026-05-26,高,上游传感器落地
